,training_data,training_labels,testing_data,testing_labels
65,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN023.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN023.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0141_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0141_0.png
66,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN054.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN054.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0100_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0100_0.png
67,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN121.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN121.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN079.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN079.png
68,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0253_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0253_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0141_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0141_1.png
69,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0333_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0333_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN143.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN143.png
70,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0537_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0537_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0308_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0308_0.png
71,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0526_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0526_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0239_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0239_0.png
72,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN092.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN092.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0157_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0157_0.png
73,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0382_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0382_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN047.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN047.png
74,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0044_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0044_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0127_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0127_0.png
75,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN122.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN122.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0282_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0282_1.png
76,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0064_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0064_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN031.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN031.png
77,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0032_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0032_0.png,,
78,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN057.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN057.png,,
79,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN069.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN069.png,,
80,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0656_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0656_1.png,,
81,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0581_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0581_1.png,,
82,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0254_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0254_0.png,,
83,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN026.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN026.png,,
84,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0046_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0046_0.png,,
85,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0286_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0286_0.png,,
86,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0142_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0142_1.png,,
87,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0139_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0139_0.png,,
88,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0086_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0086_0.png,,
89,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN063.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN063.png,,
90,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0128_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0128_0.png,,
91,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN137.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN137.png,,
92,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0129_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0129_0.png,,
93,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0625_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0625_1.png,,
94,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0160_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0160_0.png,,
95,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0468_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0468_1.png,,
96,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0313_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0313_0.png,,
97,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0290_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0290_0.png,,
98,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0376_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0376_1.png,,
99,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0350_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0350_1.png,,
100,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0377_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0377_1.png,,
101,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0285_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0285_0.png,,
102,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0520_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0520_1.png,,
103,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0641_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0641_1.png,,
104,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0255_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0255_1.png,,
105,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0049_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0049_0.png,,
106,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0548_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0548_1.png,,
107,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN110.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN110.png,,
108,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0247_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0247_0.png,,
109,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0594_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0594_1.png,,
110,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0652_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0652_1.png,,
111,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0283_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0283_0.png,,
112,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0630_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0630_1.png,,
113,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0514_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0514_1.png,,
114,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0452_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0452_1.png,,
115,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0022_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0022_0.png,,
116,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0144_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0144_0.png,,
117,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0166_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0166_1.png,,
118,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0506_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0506_1.png,,
119,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0367_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0367_1.png,,
120,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0244_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0244_0.png,,
121,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0593_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0593_1.png,,
122,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0126_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0126_0.png,,
123,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0439_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0439_1.png,,
124,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN056.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN056.png,,
125,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN052.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN052.png,,
126,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0117_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0117_1.png,,
127,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0145_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0145_0.png,,
128,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0461_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0461_1.png,,
129,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0294_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0294_1.png,,
130,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0107_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0107_0.png,,
131,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0415_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0415_1.png,,
132,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0026_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0026_0.png,,
133,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0243_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0243_0.png,,
134,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0169_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0169_0.png,,
135,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0248_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0248_0.png,,
136,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0164_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0164_0.png,,
137,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN060.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN060.png,,
138,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN144.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN144.png,,
139,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0278_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0278_0.png,,
140,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0404_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0404_1.png,,
141,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0171_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0171_0.png,,
142,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0572_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0572_1.png,,
143,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN056.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN056.png,,
144,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN080.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN080.png,,
145,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0080_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0080_0.png,,
146,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN003.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN003.png,,
147,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN154.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN154.png,,
148,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN112.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN112.png,,
149,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN126.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN126.png,,
150,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0516_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0516_1.png,,
151,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0578_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0578_1.png,,
152,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN004.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN004.png,,
153,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN059.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN059.png,,
154,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0383_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0383_1.png,,
155,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0122_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0122_0.png,,
156,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0398_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0398_1.png,,
157,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0393_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0393_1.png,,
158,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0317_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0317_0.png,,
159,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0059_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0059_0.png,,
160,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0156_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0156_0.png,,
161,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0068_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0068_0.png,,
162,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0023_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0023_0.png,,
163,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN081.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN081.png,,
164,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0303_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0303_0.png,,
165,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCNN025.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCNN025.png,,
166,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0265_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0265_0.png,,
167,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN049.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN049.png,,
168,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0309_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0309_1.png,,
169,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0277_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0277_0.png,,
170,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0062_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0062_0.png,,
171,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0301_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0301_1.png,,
172,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0316_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0316_0.png,,
173,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0019_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0019_0.png,,
174,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/CHNCXR_0619_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/CHNCXR_0619_1.png,,
175,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN116.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN116.png,,
176,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN151.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN151.png,,
177,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN045.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN045.png,,
178,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/JPCLN004.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/JPCLN004.png,,
179,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0038_0.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0038_0.png,,
180,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/images/MCUCXR_0313_1.png,C:/Users/Asad/Desktop/segmentation_datasets/all_data_resized/Training Data/ground_truths/MCUCXR_0313_1.png,,
